Eje Estratégico,Producto,Indicador Asociado,Meta Anual,Enero,Feb,Marzo,Abril,Mayo,Junio,Julio,Agosto,Sept,Oct,Nov,Dic,Comentarios
Más Institucionalidad,"Elevados los niveles de calidad, control y transparencia en los procesos",IPo4401-Evaluación de satisfacción de los servicios de la DTHS,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,
Más Institucionalidad,Gestión de personal,"IPo4402- 44.Elaborar estudio sobre equidad salarial entre hombres y mujeres, por grupo ocupacional.",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Más Institucionalidad,Gestión de personal,IPo4501- Gestión de solicitudes de nuevo ingreso anual,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,A demanda
Más Institucionalidad,Gestión de personal,IPo4501-1  Personal de nuevo ingreso evaluado a través de la pruebas psicométricas,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,A demanda
Más Institucionalidad,Gestión de personal,IPo4501-1 Tiempo promedio de Contratación de Vacantes personal técnico y de línea (días),30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,
Más Institucionalidad,Gestión de personal,IPo4501-2 Porcentaje de colaboradores de nuevo ingreso que agotan al 100% el programa de Inducción.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,A demanda
Más Institucionalidad,Gestión de personal,IPo4501-3 Promedio de rotación anual ,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,
Más Institucionalidad,Gestión de personal,IPo4501-3 Promedio de rotación anual del personal en período probatorio.,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,
Más Institucionalidad,Gestión de personal,IPo4701- Aplicar y socializar la encuesta de satisfacción laboral,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
Más Institucionalidad,Gestión de personal,IPo4701-01 Porcentaje de colaboradores encuestados,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,
Más Institucionalidad,Gestión de personal,IPo4701-01 Porcentaje de satisfacción del clima laboral,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,
Más Institucionalidad,Gestión de personal,IPo4703- Gestión eficiente de remuneraciones y programa de  incentivos y beneficios,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
